Data,Formato,Kg_Produzidos,Metro_Linear,Metro_Quadrado,Tipo_Onda,Tipo_Papel,Turno
,,,,,,,
2026-01-05 00:00:00,2040,903,893,1821,B,KK,TARDE
2026-01-05 00:00:00,2040,3715,5174,10554,B,KC,TARDE
2026-01-05 00:00:00,2040,7499,9623,19630,B,KK,TARDE
2026-01-05 00:00:00,2200,4935,5679,12493,C,KC,MANHA
2026-01-05 00:00:00,2200,23359,17845,39259,BC,CC,TARDE
2026-01-05 00:00:00,2270,7481,9417,21376,B,KM,MANHA
2026-01-05 00:00:00,2430,1047,705,1713,BC,KK,TARDE
2026-01-05 00:00:00,2430,1309,1518,3688,B,KC,TARDE
2026-01-05 00:00:00,2430,1771,1599,3885,B,KK-RI,TARDE
2026-01-05 00:00:00,2430,1957,2362,5593,B,KM,MANHA
2026-01-05 00:00:00,2430,2733,3483,8463,B,CM,TARDE
2026-01-05 00:00:00,2430,3564,4019,9766,C,KC,MANHA
2026-01-06 00:00:00,2200,1370,1577,3469,C,KK,MANHA
2026-01-06 00:00:00,2200,1399,1579,3473,B,KC,TARDE
2026-01-06 00:00:00,2200,1447,1802,3964,C,KC,MANHA
2026-01-06 00:00:00,2200,2788,1900,4180,BC,KK,TARDE
2026-01-06 00:00:00,2200,2858,3712,8166,B,KC,MANHA
2026-01-06 00:00:00,2200,3300,4287,9431,B,KC,MANHA
2026-01-06 00:00:00,2200,3661,3698,8135,B,KK,MANHA
2026-01-06 00:00:00,2200,4187,4700,10340,B,BM,MANHA
2026-01-06 00:00:00,2200,4260,3820,8404,B,KK,TARDE
2026-01-06 00:00:00,2200,6475,4054,8918,BC,KM,TARDE
2026-01-06 00:00:00,2270,280,264,599,C,KM,TARDE
2026-01-06 00:00:00,2270,387,356,808,B,BK,TARDE
2026-01-06 00:00:00,2270,1862,2077,4714,C,KK,MANHA
2026-01-06 00:00:00,2270,2233,2058,4671,C,KK,TARDE
2026-01-06 00:00:00,2270,2404,2140,4857,C,KK-RI,MANHA
2026-01-06 00:00:00,2270,2538,1405,3189,BC,KK,TARDE
2026-01-06 00:00:00,2270,5731,3713,8428,BC,KK,TARDE
2026-01-06 00:00:00,2270,8737,10998,24965,B,KM,MANHA
2026-01-06 00:00:00,2430,1618,1903,4624,B,KC,MANHA
2026-01-06 00:00:00,2430,1714,530,1287,BC,KK,TARDE
2026-01-06 00:00:00,2430,1829,801,1946,BC,KK,TARDE
2026-01-06 00:00:00,2430,2749,2418,5875,C,KK,TARDE
2026-01-06 00:00:00,2430,2857,1755,4264,BC,KK,TARDE
2026-01-06 00:00:00,2430,2977,3118,7576,C,KC,TARDE
2026-01-06 00:00:00,2430,3340,1769,4298,BC,KK,TARDE
2026-01-06 00:00:00,2430,3857,2435,5917,BC,KK,TARDE
2026-01-06 00:00:00,2430,4040,2980,7241,BC,KC,TARDE
2026-01-06 00:00:00,2430,4630,2778,6750,BC,KM,TARDE
2026-01-06 00:00:00,2430,4727,4925,11967,C,KK,MANHA
2026-01-06 00:00:00,2430,9616,7261,17644,B,KK,MANHA
2026-01-07 00:00:00,2000,10174,6969,13938,C,CK-RI,MANHA
2026-01-07 00:00:00,2040,382,413,842,B,KK,TARDE
2026-01-07 00:00:00,2040,1780,1774,3618,C,KK,TARDE
2026-01-07 00:00:00,2040,7301,8816,17984,B,KK,TARDE
2026-01-07 00:00:00,2040,7340,10222,20852,B,KC,TARDE
2026-01-07 00:00:00,2200,4066,4054,8918,C,KK,TARDE
2026-01-07 00:00:00,2270,1556,1399,3175,B,BK,MANHA
2026-01-07 00:00:00,2270,6666,5885,13358,C,KK,TARDE
2026-01-07 00:00:00,2270,7430,6653,15103,C,KK,TARDE
2026-01-07 00:00:00,2270,15727,16615,37716,B,KK,TARDE
2026-01-07 00:00:00,2430,831,992,2410,B,BC,MANHA
2026-01-07 00:00:00,2430,1206,1406,3416,B,KC,TARDE
2026-01-07 00:00:00,2430,1396,1419,3448,B,BM,MANHA
2026-01-07 00:00:00,2430,1544,1324,3217,B,KK,MANHA
2026-01-07 00:00:00,2430,1820,1430,3474,C,KM,TARDE
2026-01-07 00:00:00,2430,5737,6213,15097,B,KK,MANHA
2026-01-07 00:00:00,2430,12528,13568,32970,B,KC,MANHA
2026-01-07 00:00:00,2430,18392,21626,52551,B,KC,MANHA
2026-01-08 00:00:00,2040,734,866,1766,B,KK,TARDE
2026-01-08 00:00:00,2040,1035,1339,2731,C,KC,TARDE
2026-01-08 00:00:00,2040,2039,3067,6257,B,CC,TARDE
2026-01-08 00:00:00,2200,1624,1754,3858,B,KK,TARDE
2026-01-08 00:00:00,2200,1865,2317,5097,B,KC,TARDE
2026-01-08 00:00:00,2200,2978,2735,6017,C,KK-RI,MANHA
2026-01-08 00:00:00,2200,5493,3243,7134,BC,KK-RI,MANHA
2026-01-08 00:00:00,2200,5518,6618,1455,B,KK,TARDE
2026-01-08 00:00:00,2270,166,176,399,B,BK,TARDE
2026-01-08 00:00:00,2270,890,829,1881,B,BK-RI,TARDE
2026-01-08 00:00:00,2270,1103,1266,2873,B,KM,TARDE
2026-01-08 00:00:00,2270,4004,3243,7361,C,KK,TARDE
2026-01-08 00:00:00,2270,4052,2103,4773,BC,KK-RI,TARDE
2026-01-08 00:00:00,2270,5637,3128,7100,BC,KK-RI,TARDE
